Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-01-01T12:00:00Z,7197.20000000,7233.33000000,7196.15000000,7225.59000000,868.75358000,2020-01-01T12:59:59.999Z,6269445.53871061,9402,504.45494500,3640707.64255483,0
2020-01-01T13:00:00Z,7225.84000000,7231.89000000,7212.88000000,7221.20000000,612.18090200,2020-01-01T13:59:59.999Z,4421321.60662347,7240,323.27064500,2334754.37112301,0
2020-01-01T14:00:00Z,7221.17000000,7234.97000000,7208.17000000,7221.43000000,617.71418500,2020-01-01T14:59:59.999Z,4461596.13740920,8130,317.52608800,2293469.15010773,0
2020-01-01T15:00:00Z,7221.60000000,7255.00000000,7218.29000000,7234.19000000,1393.88879200,2020-01-01T15:59:59.999Z,10083196.37797081,11777,941.02744100,6807778.16446788,0
2020-01-01T16:00:00Z,7234.20000000,7246.42000000,7214.00000000,7245.37000000,881.93278000,2020-01-01T16:59:59.999Z,6373549.30719837,9499,454.71804500,3286159.42922481,0
2020-01-01T17:00:00Z,7244.34000000,7249.99000000,7224.92000000,7236.83000000,1069.21056700,2020-01-01T17:59:59.999Z,7740371.19418923,9809,688.26337100,4982656.31043735,0
2020-01-01T18:00:00Z,7237.02000000,7246.72000000,7225.17000000,7240.67000000,611.69330700,2020-01-01T18:59:59.999Z,4426678.39316080,7712,322.84727600,2336417.57816526,0
2020-01-01T19:00:00Z,7240.80000000,7241.00000000,7225.49000000,7229.48000000,417.74663700,2020-01-01T19:59:59.999Z,3021175.27526242,5857,207.23190200,1498924.74940944,0
2020-01-01T20:00:00Z,7229.48000000,7242.98000000,7224.68000000,7236.73000000,391.83417400,2020-01-01T20:59:59.999Z,2834515.14512445,5465,198.75480400,1437840.00843916,0
2020-01-01T21:00:00Z,7237.26000000,7242.75000000,7227.00000000,7233.17000000,285.45407800,2020-01-01T21:59:59.999Z,2064937.49397016,5114,142.47724400,1030734.20312295,0
2020-01-01T22:00:00Z,7233.32000000,7234.49000000,7186.00000000,7197.99000000,769.03041100,2020-01-01T22:59:59.999Z,5542964.53489558,10399,356.77135100,2571743.12046796,0
2020-01-01T23:00:00Z,7197.62000000,7204.17000000,7175.15000000,7200.85000000,811.25016000,2020-01-01T23:59:59.999Z,5831304.44409966,7632,328.69125400,2363459.79288495,0
2020-01-02T00:00:00Z,7200.77000000,7212.50000000,7185.46000000,7211.02000000,391.35237700,2020-01-02T00:59:59.999Z,2817911.98887722,5470,219.08623100,1577568.03905161,0
2020-01-02T01:00:00Z,7211.04000000,7211.16000000,7185.11000000,7190.99000000,402.66013900,2020-01-02T01:59:59.999Z,2897039.58051895,5929,200.65318600,1443624.51097343,0
2020-01-02T02:00:00Z,7190.99000000,7191.00000000,7155.35000000,7169.02000000,1387.37788600,2020-01-02T02:59:59.999Z,9943525.16584881,14716,616.31999800,4417102.36345964,0
2020-01-02T03:00:00Z,7169.04000000,7169.06000000,7120.37000000,7129.61000000,1557.96443000,2020-01-02T03:59:59.999Z,11131079.15308483,15206,703.17502800,5024808.11047959,0
2020-01-02T04:00:00Z,7129.25000000,7161.00000000,7116.70000000,7142.21000000,1252.44787700,2020-01-02T04:59:59.999Z,8947150.49263407,12565,585.15616300,4180224.69166626,0
2020-01-02T05:00:00Z,7142.61000000,7152.05000000,7126.93000000,7138.93000000,569.50899000,2020-01-02T05:59:59.999Z,4066462.76858519,6580,255.59866400,1825253.73063505,0
2020-01-02T06:00:00Z,7138.93000000,7149.02000000,7121.43000000,7135.97000000,687.60066500,2020-01-02T06:59:59.999Z,4908674.72695562,7669,326.44149000,2330464.34617112,0
2020-01-02T07:00:00Z,7136.04000000,7140.63000000,7105.00000000,7110.57000000,1548.40382300,2020-01-02T07:59:59.999Z,11023285.84536549,13939,647.34540300,4608644.13367406,0
2020-01-02T08:00:00Z,7110.98000000,7157.48000000,7109.11000000,7154.36000000,1114.82512800,2020-01-02T08:59:59.999Z,7958329.31048351,11622,525.10134100,3748242.38788132,0
2020-01-02T09:00:00Z,7153.57000000,7165.00000000,7135.36000000,7162.01000000,840.00132800,2020-01-02T09:59:59.999Z,6004950.12191941,8198,503.95777600,3602819.28248269,0
2020-01-02T10:00:00Z,7162.18000000,7180.00000000,7153.33000000,7161.83000000,1446.21998400,2020-01-02T10:59:59.999Z,10364146.50181785,13126,721.57392700,5171512.34772568,0
2020-01-02T11:00:00Z,7161.89000000,7168.67000000,7139.03000000,7139.79000000,761.15657000,2020-01-02T11:59:59.999Z,5444262.39000687,8556,372.30049400,2662942.02870947,0
2020-01-02T12:00:00Z,7139.73000000,7163.40000000,7139.03000000,7158.29000000,794.03049700,2020-01-02T12:59:59.999Z,5679917.25953634,8754,419.73442300,3001938.64426683,0
2020-01-02T13:00:00Z,7158.86000000,7163.35000000,7107.43000000,7131.15000000,1566.28069300,2020-01-02T13:59:59.999Z,11164418.96099547,13621,587.95759100,4192179.40940987,0
2020-01-02T14:00:00Z,7131.18000000,7157.10000000,7122.34000000,7135.59000000,956.30092500,2020-01-02T14:59:59.999Z,6824754.43568179,10776,506.15111100,3612543.46888326,0
2020-01-02T15:00:00Z,7135.59000000,7152.00000000,7120.00000000,7130.98000000,862.42971800,2020-01-02T15:59:59.999Z,6152565.70967462,8782,415.47998000,2964690.74013950,0
2020-01-02T16:00:00Z,7130.37000000,7146.85000000,7020.00000000,7052.32000000,3604.47415200,2020-01-02T16:59:59.999Z,25521442.62790364,27013,1381.17523900,9779570.25234402,0
2020-01-02T17:00:00Z,7052.32000000,7053.09000000,6924.74000000,6970.04000000,6183.82554000,2020-01-02T17:59:59.999Z,43147556.90011087,45957,3059.63614100,21348749.32147337,0
2020-01-02T18:00:00Z,6970.04000000,6989.68000000,6949.96000000,6974.02000000,1513.59793900,2020-01-02T18:59:59.999Z,10548349.67576966,13965,855.75623300,5963783.67776304,0
2020-01-02T19:00:00Z,6974.02000000,6995.00000000,6960.00000000,6983.27000000,1397.13060200,2020-01-02T19:59:59.999Z,9750502.50522138,14642,689.31839800,4810485.02383321,0
2020-01-02T20:00:00Z,6982.63000000,6983.22000000,6941.27000000,6948.49000000,1138.64633400,2020-01-02T20:59:59.999Z,7926144.83997666,10215,498.33434600,3469523.01154902,0
2020-01-02T21:00:00Z,6948.16000000,6985.00000000,6946.20000000,6977.73000000,665.85671500,2020-01-02T21:59:59.999Z,4638526.40916631,8036,357.64408600,2492015.01290193,0
2020-01-02T22:00:00Z,6977.55000000,6978.24000000,6963.02000000,6974.80000000,568.32402900,2020-01-02T22:59:59.999Z,3961003.44450627,8665,283.30760900,1974540.72856368,0
2020-01-02T23:00:00Z,6974.80000000,6974.80000000,6950.00000000,6965.71000000,741.06759100,2020-01-02T23:59:59.999Z,5160340.48649947,8665,410.40648200,2857603.81402699,0
2020-01-03T00:00:00Z,6965.49000000,6966.47000000,6912.88000000,6937.00000000,1106.73204300,2020-01-03T00:59:59.999Z,7682684.25230455,11910,540.40911600,3752333.71028100,0
2020-01-03T01:00:00Z,6937.00000000,6946.07000000,6878.19000000,6888.85000000,2402.58168400,2020-01-03T01:59:59.999Z,16598356.35395670,19122,1060.03336400,7326332.05726061,0
2020-01-03T02:00:00Z,6888.26000000,6966.80000000,6871.04000000,6956.88000000,2869.99355300,2020-01-03T02:59:59.999Z,19890221.80352921,22447,1219.75262200,8450428.94435837,0
2020-01-03T03:00:00Z,6957.66000000,6966.36000000,6940.00000000,6952.04000000,1246.58950800,2020-01-03T03:59:59.999Z,8665052.18701594,10323,790.42618400,5493729.62995557,0
2020-01-03T04:00:00Z,6952.04000000,7264.71000000,6948.64000000,7210.19000000,9560.89769700,2020-01-03T04:59:59.999Z,68233808.79932053,58889,5333.28120100,38097761.60265872,0
2020-01-03T05:00:00Z,7210.20000000,7249.00000000,7168.48000000,7220.47000000,3575.77096500,2020-01-03T05:59:59.999Z,25747383.97826779,23043,1664.40199800,11984700.10713506,0
2020-01-03T06:00:00Z,7220.49000000,7225.00000000,7190.14000000,7202.22000000,2075.25916000,2020-01-03T06:59:59.999Z,14952700.81905125,15059,1178.02364100,8487381.37962676,0
2020-01-03T07:00:00Z,7202.06000000,7232.00000000,7185.04000000,7203.21000000,2185.37688400,2020-01-03T07:59:59.999Z,15764122.99045020,15969,1205.43434100,8695762.96987356,0
2020-01-03T08:00:00Z,7202.28000000,7297.29000000,7202.28000000,7260.60000000,3976.53450900,2020-01-03T08:59:59.999Z,28847521.62215607,28749,1973.20628100,14317041.90044787,0
2020-01-03T09:00:00Z,7260.64000000,7358.88000000,7256.56000000,7348.42000000,5469.03063200,2020-01-03T09:59:59.999Z,39980889.00233599,43411,2770.95700100,20262285.32994336,0
2020-01-03T10:00:00Z,7349.30000000,7371.92000000,7281.30000000,7312.25000000,3924.46241400,2020-01-03T10:59:59.999Z,28761054.21356499,28443,2031.21387800,14885400.16303040,0
2020-01-03T11:00:00Z,7312.26000000,7346.00000000,7306.61000000,7340.46000000,1826.85746600,2020-01-03T11:59:59.999Z,13387065.43362765,15185,1054.22131600,7725680.33110307,0
2020-01-03T12:00:00Z,7340.46000000,7350.19000000,7303.14000000,7322.78000000,1717.22262000,2020-01-03T12:59:59.999Z,12589082.19929539,16237,897.96389000,6584329.21108697,0
2020-01-03T13:00:00Z,7324.10000000,7380.00000000,7311.59000000,7348.87000000,1906.46899800,2020-01-03T13:59:59.999Z,13993594.37929978,17141,1164.18671300,8546209.30930311,0
2020-01-03T14:00:00Z,7348.36000000,7362.31000000,7229.30000000,7254.73000000,4583.64311900,2020-01-03T14:59:59.999Z,33344264.97312205,29226,2025.43659600,14732230.45810529,0
2020-01-03T15:00:00Z,7255.49000000,7322.44000000,7252.48000000,7320.18000000,2371.65079200,2020-01-03T15:59:59.999Z,17278237.82042984,19457,1389.52840600,10124983.69689626,0
2020-01-03T16:00:00Z,7320.17000000,7405.00000000,7293.10000000,7386.03000000,5852.32693400,2020-01-03T16:59:59.999Z,43085512.31713267,35462,3053.03153200,22482413.94967173,0
2020-01-03T17:00:00Z,7388.21000000,7403.20000000,7335.21000000,7355.26000000,2201.22306300,2020-01-03T17:59:59.999Z,16208977.14385979,20452,1275.36580600,9393686.41821483,0
2020-01-03T18:00:00Z,7355.23000000,7369.47000000,7330.32000000,7342.96000000,1422.53160200,2020-01-03T18:59:59.999Z,10452057.80751470,12260,690.97923400,5076955.46040494,0
2020-01-03T19:00:00Z,7342.95000000,7352.33000000,7280.00000000,7343.08000000,2259.00287800,2020-01-03T19:59:59.999Z,16538679.10997612,18046,1076.91757200,7886089.41175485,0
